accuracy,amenities,bed_type,cancel_policy,instant_book,person_capacity,price,rating_checkin,rating_cleanliness,rating_communication,response_rate,response_time,rev_count,room_type,satisfaction_guest,url
"															",,,,,,,,,,,,,,,
9,"[1, 33, 35, 4, 36, 5, 8, 40, 41, 42, 44, 45, 46, 21, 30, 31]",Real Bed,4,TRUE,16,137,9,8,10,1,1,25,Entire home/apt,87,https://www.airbnb.com/rooms/16978443?location=Roppongi%2C%20Minato%2C%20Tokyo%2C%20Japan
,,,,,,,,,,,,,,,
9,"[1, 33, 2, 34, 3, 35, 4, 36, 5, 39, 8, 40, 41, 43, 44, 45, 46, 47, 51, 54, 25, 28, 30, 31]",Real Bed,5,TRUE,5,114,10,9,10,1,1,19,Entire home/apt,96,https://www.airbnb.com/rooms/12642103?location=Roppongi%2C%20Minato%2C%20Tokyo%2C%20Japan
,,,,,,,,,,,,,,,
9,"[1, 33, 35, 4, 36, 5, 39, 8, 40, 41, 42, 43, 44, 45, 46, 47, 51, 21, 53, 28, 31]",Real Bed,5,TRUE,8,100,10,10,10,1,98,23,Entire home/apt,97,https://www.airbnb.com/rooms/14623853?location=Roppongi%2C%20Minato%2C%20Tokyo%2C%20Japan
,,,,,,,,,,,,,,,
10,"[1, 33, 3, 35, 4, 36, 5, 37, 38, 8, 40, 41, 43, 44, 45, 14, 46, 47, 21, 25, 27, 28, 30, 31]",Real Bed,4,TRUE,6,91,10,10,10,1,1,123,Entire home/apt,98,https://www.airbnb.com/rooms/6338297?location=Roppongi%2C%20Minato%2C%20Tokyo%2C%20Japan
,,,,,,,,,,,,,,,
10,"[33, 35, 4, 36, 5, 39, 8, 40, 41, 42, 44, 45, 47, 21, 30]",Real Bed,4,TRUE,2,46,10,10,10,1,28.5,5,Entire home/apt,100,https://www.airbnb.com/rooms/18148222?location=Roppongi%2C%20Minato%2C%20Tokyo%2C%20Japan
,,,,,,,,,,,,,,,
